snapshot_time,type,asset,kalshi_ticker,poly_slug,direction,combined_cost,profit,payout,kalshi_outcome,polymarket_outcome,poly_up_best_ask,poly_up_size_055,poly_up_slip_1000,poly_up_slip_3000,poly_down_best_ask,poly_down_size_055,poly_down_slip_1000,poly_down_slip_3000,kalshi_yes_levels,kalshi_no_levels,poly_up_vwap,poly_up_unfilled,poly_down_vwap,poly_down_unfilled,kalshi_yes_vwap,kalshi_yes_unfilled,kalshi_no_vwap,kalshi_no_unfilled,execution_status,combined_vwap,logged_at
2026-09-20T12:47:18.415727+00:00,CLOSED,ZEC,KXZEC15M-26SEP181515-15,zec-updown-15m-1789758000,A,0.793,0.207,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:18.632161+00:00,CLOSED,ZEC,KXZEC15M-26SEP181545-45,zec-updown-15m-1789759800,A,0.76,0.24,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:18.804623+00:00,CLOSED,SOL,KXSOL15M-26SEP181545-45,sol-updown-15m-1789759800,B,0.4,0.6,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:18.904764+00:00,CLOSED,BTC,KXBTC15M-26SEP181600-00,btc-updown-15m-1789760700,A,0.74,0.26,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:19.121027+00:00,CLOSED,HYPE,KXHYPE15M-26SEP181600-00,hype-updown-15m-1789760700,B,0.66,0.34,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:19.318179+00:00,CLOSED,ETH,KXETH15M-26SEP181600-00,eth-updown-15m-1789760700,A,0.69,0.31,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:19.505192+00:00,CLOSED,DOGE,KXDOGE15M-26SEP181600-00,doge-updown-15m-1789760700,A,0.56,-0.56,0.0,up,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:19.672884+00:00,CLOSED,SOL,KXSOL15M-26SEP181600-00,sol-updown-15m-1789760700,B,0.76,0.24,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:19.871313+00:00,CLOSED,ZEC,KXZEC15M-26SEP181600-00,zec-updown-15m-1789760700,A,0.69,0.31,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:20.057321+00:00,CLOSED,BNB,KXBNB15M-26SEP181600-00,bnb-updown-15m-1789761600,B,0.641,0.359,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:20.243679+00:00,CLOSED,XRP,KXXRP15M-26SEP181615-15,xrp-updown-15m-1789761600,B,0.75,0.25,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:20.441683+00:00,CLOSED,ZEC,KXZEC15M-26SEP181615-15,zec-updown-15m-1789761600,A,0.67,0.33,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:20.619984+00:00,CLOSED,ZEC,KXZEC15M-26SEP181630-30,zec-updown-15m-1789762500,B,0.75,0.25,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:20.809308+00:00,CLOSED,XRP,KXXRP15M-26SEP181630-30,xrp-updown-15m-1789762500,A,0.65,0.35,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:21.016855+00:00,CLOSED,HYPE,KXHYPE15M-26SEP181630-30,hype-updown-15m-1789762500,B,0.79,0.21,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:21.215117+00:00,CLOSED,ZEC,KXZEC15M-26SEP181645-45,zec-updown-15m-1789763400,B,0.75,0.25,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:21.411063+00:00,CLOSED,SOL,KXSOL15M-26SEP181645-45,sol-updown-15m-1789763400,B,0.77,0.23,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:21.715398+00:00,CLOSED,DOGE,KXDOGE15M-26SEP181700-00,doge-updown-15m-1789764300,B,0.79,0.21,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:21.929432+00:00,CLOSED,ZEC,KXZEC15M-26SEP181715-15,zec-updown-15m-1789765200,B,0.778,0.222,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:22.125640+00:00,CLOSED,ZEC,KXZEC15M-26SEP181730-30,zec-updown-15m-1789766100,B,0.66,0.34,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:22.301785+00:00,CLOSED,ZEC,KXZEC15M-26SEP181745-45,zec-updown-15m-1789767000,A,0.097,0.903,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:22.498408+00:00,CLOSED,HYPE,KXHYPE15M-26SEP181730-30,hype-updown-15m-1789767000,B,0.311,0.689,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:22.559945+00:00,CLOSED,HYPE,KXHYPE15M-26SEP181745-45,hype-updown-15m-1789767000,A,0.77,0.23,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:22.749334+00:00,CLOSED,ZEC,KXZEC15M-26SEP181800-00,zec-updown-15m-1789767900,B,0.79,0.21,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:22.831134+00:00,CLOSED,BTC,KXBTC15M-26SEP181800-00,btc-updown-15m-1789767900,B,0.78,0.22,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:23.027625+00:00,CLOSED,DOGE,KXDOGE15M-26SEP181815-15,doge-updown-15m-1789768800,A,0.79,0.21,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:23.215785+00:00,CLOSED,SOL,KXSOL15M-26SEP181800-00,sol-updown-15m-1789768800,A,0.631,0.369,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:23.409280+00:00,CLOSED,XRP,KXXRP15M-26SEP181815-15,xrp-updown-15m-1789768800,B,0.095,0.905,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:23.608826+00:00,CLOSED,ZEC,KXZEC15M-26SEP181815-15,zec-updown-15m-1789768800,A,0.77,0.23,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:23.809199+00:00,CLOSED,XRP,KXXRP15M-26SEP181830-30,xrp-updown-15m-1789769700,A,0.79,0.21,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:24.018524+00:00,CLOSED,DOGE,KXDOGE15M-26SEP181830-30,doge-updown-15m-1789769700,A,0.79,0.21,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:24.115889+00:00,CLOSED,ETH,KXETH15M-26SEP181830-30,eth-updown-15m-1789769700,A,0.76,0.24,1.0,up,up,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:24.313538+00:00,CLOSED,SOL,KXSOL15M-26SEP181830-30,sol-updown-15m-1789769700,A,0.78,0.22,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
2026-09-20T12:47:24.513185+00:00,CLOSED,HYPE,KXHYPE15M-26SEP181830-30,hype-updown-15m-1789769700,A,0.79,0.21,1.0,down,down,,,,,,,,,0.0,0.0,,,,,,,,,,,
